Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,156.410004,156.729996,152.619995,153.300003,152.645340,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,153.262680,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,152.047897,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,157.086288,33535500
2019-01-28,155.789993,156.330002,153.660004,156.300003,155.632523,26192100
2019-01-29,156.250000,158.130005,154.110001,154.679993,154.019440,41587200
2019-01-30,163.250000,166.149994,160.229996,165.250000,164.544296,61109800
2019-01-31,166.110001,169.000000,164.559998,166.440002,165.729218,40739600
2019-02-01,166.960007,168.979996,165.929993,166.520004,165.808884,32668100
2019-02-04,167.410004,171.660004,167.279999,171.250000,170.518677,31495500
2019-02-05,172.860001,175.080002,172.350006,174.179993,173.436157,36101600
2019-02-06,174.649994,175.570007,172.850006,174.240005,173.495911,28239600
2019-02-07,172.399994,173.940002,170.339996,170.940002,170.210007,31741700
2019-02-08,168.990005,170.660004,168.419998,170.410004,170.410004,23820000
2019-02-11,171.050003,171.210007,169.250000,169.429993,169.429993,20993400
2019-02-12,170.100006,171.000000,169.699997,170.889999,170.889999,22283500
2019-02-13,171.389999,172.479996,169.919998,170.179993,170.179993,22490200
2019-02-14,169.710007,171.259995,169.380005,170.800003,170.800003,21835700
2019-02-15,171.250000,171.699997,169.750000,170.419998,170.419998,24626800
2019-02-19,169.710007,171.440002,169.490005,170.929993,170.929993,18962100
2019-02-20,171.190002,173.320007,171.000000,172.029999,172.029999,979
